Recipe Key,recipe_wearable_cloth_chest_pilgrim_bol_t4_common
Recipe Name,Pilgrim's Tunic IV
Skill,skill_tailoring
UnlockAtSkillLevel,17
SkillDifficulty,31
XPMultiplier,3.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
17,4%,870,945,1021,38,74
18,4%,832,904,977,39,74
19,4%,795,864,933,40,73
20,4%,757,823,889,41,72
21,5%,719,782,845,42,82
22,9%,682,741,800,43,109
23,16%,644,700,756,44,149
24,26%,607,660,712,45,204
25,39%,569,619,668,46,269
26,54%,532,578,624,47,333
27,68%,494,537,580,48,382
28,80%,457,496,536,49,406
29,88%,419,456,492,50,406
30,93%,382,415,448,50,389
31,100%,42,46,50,,46
32,100%,40,43,46,,43
33,100%,37,40,43,,40
34,100%,34,37,40,,37
35,100%,31,34,37,,34
36,100%,29,31,33,,31
37,100%,26,28,30,,28
38,100%,23,25,27,,25
39,100%,20,22,24,,22
40,100%,17,19,21,,19
41+,100%,15,16,17,,16
