Recipe Key,recipe_wearable_cloth_chest_rp_tunic_02_somber
Recipe Name,recipe_wearable_cloth_chest_rp_tunic_02_somber
Skill,skill_tailoring
UnlockAtSkillLevel,20
SkillDifficulty,25
XPMultiplier,2.7
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
20,54%,422,459,496,38,265
21,68%,392,427,461,39,303
22,80%,363,394,426,40,322
23,88%,333,362,391,41,323
24,93%,303,329,356,42,309
25,100%,37,40,43,,40
26,100%,34,37,40,,37
27,100%,31,34,37,,34
28,100%,29,31,33,,31
29,100%,26,28,30,,28
30,100%,23,25,27,,25
31,100%,20,22,24,,22
32,100%,17,19,21,,19
33,100%,15,16,17,,16
34,100%,12,13,14,,13
35+,100%,9,10,11,,10
