Recipe Key,recipe_wearable_cloth_feet_shepherd_rd_t3_uncommon
Recipe Name,Shepherd's Steps of Rushing Wind III
Skill,skill_tailoring
UnlockAtSkillLevel,14
SkillDifficulty,28
XPMultiplier,3.8
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
14,4%,972,1056,1141,38,79
15,4%,930,1011,1092,39,78
16,4%,888,965,1042,40,77
17,4%,846,920,993,41,76
18,5%,804,874,944,42,87
19,9%,762,828,895,43,117
20,16%,720,783,845,44,162
21,26%,678,737,796,45,224
22,39%,636,692,747,46,298
23,54%,594,646,698,47,370
24,68%,552,600,648,48,425
25,80%,510,555,599,49,452
26,88%,468,509,550,50,453
27,93%,427,464,501,50,435
28,100%,40,43,46,,43
29,100%,37,40,43,,40
30,100%,34,37,40,,37
31,100%,31,34,37,,34
32,100%,29,31,33,,31
33,100%,26,28,30,,28
34,100%,23,25,27,,25
35,100%,20,22,24,,22
36,100%,17,19,21,,19
37,100%,15,16,17,,16
38+,100%,12,13,14,,13
