Recipe Key,recipe_wieldable_axe_2h_0_t3_uncommon
Recipe Name,Attuned Wrought Iron Battleaxe
Skill,skill_weapon_smithing
UnlockAtSkillLevel,19
SkillDifficulty,33
XPMultiplier,4.9
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
19,4%,1253,1362,1471,38,91
20,4%,1199,1303,1408,39,90
21,4%,1145,1245,1344,40,88
22,4%,1091,1186,1281,41,87
23,5%,1037,1127,1217,42,100
24,9%,983,1068,1154,43,139
25,16%,929,1009,1090,44,198
26,26%,875,951,1027,45,279
27,39%,820,892,963,46,376
28,54%,766,833,900,47,471
29,68%,712,774,836,48,543
30,80%,658,715,773,49,580
31,88%,604,657,709,50,583
32,93%,550,598,646,50,559
33,100%,44,48,52,,48
34,100%,41,45,49,,45
35,100%,39,42,45,,42
36,100%,36,39,42,,39
37,100%,33,36,39,,36
38,100%,30,33,36,,33
39,100%,28,30,32,,30
40,100%,25,27,29,,27
41,100%,22,24,26,,24
42,100%,19,21,23,,21
43+,100%,17,18,19,,18
