Recipe Key,recipe_wieldable_cleric_staff_2h_targeted_t4_rare
Recipe Name,recipe_wieldable_cleric_staff_2h_targeted_t4_rare
Skill,skill_weapon_smithing
UnlockAtSkillLevel,0
SkillDifficulty,43
XPMultiplier,15.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,8956,9734,10513,40,428
1,4%,8783,9547,10311,41,421
2,4%,8611,9360,10109,42,415
3,4%,8439,9173,9907,43,408
4,4%,8267,8986,9704,44,402
5,4%,8095,8798,9502,45,395
6,4%,7922,8611,9300,46,389
7,4%,7750,8424,9098,47,382
8,4%,7578,8237,8896,48,376
9,4%,7406,8050,8694,49,369
10,4%,7233,7862,8491,50,362
11,4%,7061,7675,8289,50,355
12,4%,6889,7488,8087,50,348
13,4%,6717,7301,7885,50,340
14,4%,6545,7114,7683,50,333
15,4%,6372,6926,7481,50,325
16,4%,6200,6739,7278,50,318
17,4%,6028,6552,7076,50,310
18,4%,5856,6365,6874,50,303
19,4%,5683,6178,6672,50,295
20,4%,5511,5990,6470,50,288
21,4%,5339,5803,6267,50,280
22,4%,5167,5616,6065,50,273
23,4%,4994,5429,5863,50,265
24,4%,4822,5242,5661,50,258
25,4%,4650,5054,5459,50,250
26,4%,4478,4867,5257,50,243
27,4%,4306,4680,5054,50,235
28,4%,4133,4493,4852,50,228
29,4%,3961,4306,4650,50,220
30,4%,3789,4118,4448,50,213
31,4%,3617,3931,4246,50,205
32,4%,3444,3744,4044,50,198
33,5%,3272,3557,3841,50,238
34,9%,3100,3370,3639,50,362
35,16%,2928,3182,3437,50,550
36,26%,2756,2995,3235,50,811
37,39%,2583,2808,3033,50,1125
38,54%,2411,2621,2830,50,1436
39,68%,2239,2434,2628,50,1676
40,80%,2067,2246,2426,50,1801
41,88%,1894,2059,2224,50,1814
42,93%,1722,1872,2022,50,1744
43,100%,53,58,63,,58
44,100%,51,55,59,,55
45,100%,48,52,56,,52
46,100%,45,49,53,,49
47,100%,42,46,50,,46
48,100%,40,43,46,,43
49,100%,37,40,43,,40
50,100%,34,37,40,,37
51,100%,31,34,37,,34
52,100%,29,31,33,,31
53+,100%,26,28,30,,28
