Recipe Key,recipe_wieldable_mace_1h_0_t3_uncommon
Recipe Name,recipe_wieldable_mace_1h_0_t3_uncommon
Skill,skill_weapon_smithing
UnlockAtSkillLevel,17
SkillDifficulty,31
XPMultiplier,4.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
17,4%,1151,1251,1351,38,87
18,4%,1101,1197,1293,39,85
19,4%,1052,1143,1234,40,84
20,4%,1002,1089,1176,41,83
21,5%,952,1035,1118,42,95
22,9%,903,981,1059,43,131
23,16%,853,927,1001,44,185
24,26%,803,873,943,45,259
25,39%,753,819,885,46,347
26,54%,704,765,826,47,434
27,68%,654,711,768,48,500
28,80%,604,657,710,49,534
29,88%,555,603,651,50,536
30,93%,505,549,593,50,514
31,100%,42,46,50,,46
32,100%,40,43,46,,43
33,100%,37,40,43,,40
34,100%,34,37,40,,37
35,100%,31,34,37,,34
36,100%,29,31,33,,31
37,100%,26,28,30,,28
38,100%,23,25,27,,25
39,100%,20,22,24,,22
40,100%,17,19,21,,19
41+,100%,15,16,17,,16
