Recipe Key,recipe_wieldable_mace_2h_0_t3_rare
Recipe Name,recipe_wieldable_mace_2h_0_t3_rare
Skill,skill_weapon_smithing
UnlockAtSkillLevel,0
SkillDifficulty,35
XPMultiplier,10.9
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,5315,5777,6239,38,268
1,4%,5195,5646,6098,39,263
2,4%,5074,5515,5957,40,259
3,4%,4954,5385,5815,41,255
4,4%,4833,5254,5674,42,250
5,4%,4713,5123,5533,43,246
6,4%,4593,4992,5392,44,242
7,4%,4472,4861,5250,45,238
8,4%,4352,4731,5109,46,233
9,4%,4232,4600,4968,47,229
10,4%,4111,4469,4827,48,225
11,4%,3991,4338,4685,49,221
12,4%,3871,4207,4544,50,216
13,4%,3750,4077,4403,50,211
14,4%,3630,3946,4261,50,206
15,4%,3510,3815,4120,50,201
16,4%,3389,3684,3979,50,195
17,4%,3269,3553,3838,50,190
18,4%,3149,3423,3696,50,185
19,4%,3028,3292,3555,50,180
20,4%,2908,3161,3414,50,174
21,4%,2788,3030,3273,50,169
22,4%,2667,2899,3131,50,164
23,4%,2547,2769,2990,50,159
24,4%,2427,2638,2849,50,154
25,5%,2306,2507,2708,50,182
26,9%,2186,2376,2566,50,269
27,16%,2066,2245,2425,50,401
28,26%,1945,2115,2284,50,583
29,39%,1825,1984,2143,50,804
30,54%,1705,1853,2001,50,1022
31,68%,1584,1722,1860,50,1191
32,80%,1464,1591,1719,50,1279
33,88%,1344,1461,1577,50,1289
34,93%,1223,1330,1436,50,1240
35,100%,46,50,54,,50
36,100%,43,47,51,,47
37,100%,40,44,48,,44
38,100%,38,41,44,,41
39,100%,35,38,41,,38
40,100%,32,35,38,,35
41,100%,29,32,35,,32
42,100%,27,29,31,,29
43,100%,24,26,28,,26
44,100%,21,23,25,,23
45+,100%,18,20,22,,20
