Recipe Key,recipe_wieldable_spear_1h_0_t3_uncommon
Recipe Name,recipe_wieldable_spear_1h_0_t3_uncommon
Skill,skill_weapon_smithing
UnlockAtSkillLevel,13
SkillDifficulty,27
XPMultiplier,3.8
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
13,4%,972,1056,1141,38,79
14,4%,930,1011,1092,39,78
15,4%,888,965,1042,40,77
16,4%,846,920,993,41,76
17,5%,804,874,944,42,87
18,9%,762,828,895,43,117
19,16%,720,783,845,44,162
20,26%,678,737,796,45,224
21,39%,636,692,747,46,298
22,54%,594,646,698,47,370
23,68%,552,600,648,48,425
24,80%,510,555,599,49,452
25,88%,468,509,550,50,453
26,93%,427,464,501,50,435
27,100%,39,42,45,,42
28,100%,36,39,42,,39
29,100%,33,36,39,,36
30,100%,30,33,36,,33
31,100%,28,30,32,,30
32,100%,25,27,29,,27
33,100%,22,24,26,,24
34,100%,19,21,23,,21
35,100%,17,18,19,,18
36,100%,14,15,16,,15
37+,100%,11,12,13,,12
