Recipe Key,recipe_wieldable_spear_1h_0_t4_common
Recipe Name,recipe_wieldable_spear_1h_0_t4_common
Skill,skill_weapon_smithing
UnlockAtSkillLevel,20
SkillDifficulty,34
XPMultiplier,4.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
20,4%,1023,1112,1201,38,81
21,4%,979,1064,1149,39,80
22,4%,935,1016,1097,40,79
23,4%,891,968,1045,41,78
24,5%,846,920,994,42,89
25,9%,802,872,942,43,121
26,16%,758,824,890,44,169
27,26%,714,776,838,45,234
28,39%,670,728,786,46,312
29,54%,626,680,734,47,388
30,68%,581,632,683,48,446
31,80%,537,584,631,49,476
32,88%,493,536,579,50,477
33,93%,449,488,527,50,457
34,100%,45,49,53,,49
35,100%,42,46,50,,46
36,100%,40,43,46,,43
37,100%,37,40,43,,40
38,100%,34,37,40,,37
39,100%,31,34,37,,34
40,100%,29,31,33,,31
41,100%,26,28,30,,28
42,100%,23,25,27,,25
43,100%,20,22,24,,22
44+,100%,17,19,21,,19
