Recipe Key,recipe_wieldable_spear_2h_0_t3_rare
Recipe Name,recipe_wieldable_spear_2h_0_t3_rare
Skill,skill_weapon_smithing
UnlockAtSkillLevel,0
SkillDifficulty,31
XPMultiplier,9.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,4168,4531,4893,38,218
1,4%,4065,4418,4771,39,214
2,4%,3961,4305,4650,40,211
3,4%,3857,4192,4528,41,207
4,4%,3753,4080,4406,42,204
5,4%,3649,3967,4284,43,200
6,4%,3546,3854,4162,44,196
7,4%,3442,3741,4040,45,193
8,4%,3338,3628,3919,46,189
9,4%,3234,3516,3797,47,186
10,4%,3131,3403,3675,48,182
11,4%,3027,3290,3553,49,179
12,4%,2923,3177,3431,50,175
13,4%,2819,3064,3310,50,171
14,4%,2715,2952,3188,50,166
15,4%,2612,2839,3066,50,162
16,4%,2508,2726,2944,50,157
17,4%,2404,2613,2822,50,153
18,4%,2300,2500,2700,50,148
19,4%,2197,2388,2579,50,144
20,4%,2093,2275,2457,50,139
21,5%,1989,2162,2335,50,163
22,9%,1885,2049,2213,50,238
23,16%,1781,1936,2091,50,351
24,26%,1678,1824,1969,50,508
25,39%,1574,1711,1848,50,697
26,54%,1470,1598,1726,50,885
27,68%,1366,1485,1604,50,1029
28,80%,1263,1372,1482,50,1104
29,88%,1159,1260,1360,50,1112
30,93%,1055,1147,1239,50,1070
31,100%,42,46,50,,46
32,100%,40,43,46,,43
33,100%,37,40,43,,40
34,100%,34,37,40,,37
35,100%,31,34,37,,34
36,100%,29,31,33,,31
37,100%,26,28,30,,28
38,100%,23,25,27,,25
39,100%,20,22,24,,22
40,100%,17,19,21,,19
41+,100%,15,16,17,,16
