Recipe Key,recipe_wieldable_sword_2h_0_t4_rare
Recipe Name,recipe_wieldable_sword_2h_0_t4_rare
Skill,skill_weapon_smithing
UnlockAtSkillLevel,0
SkillDifficulty,39
XPMultiplier,12.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,6541,7109,7678,38,321
1,4%,6405,6962,7519,39,316
2,4%,6269,6814,7359,40,311
3,4%,6133,6667,7200,41,306
4,4%,5997,6519,7041,42,301
5,4%,5862,6371,6881,43,296
6,4%,5726,6224,6722,44,291
7,4%,5590,6076,6562,45,286
8,4%,5454,5929,6403,46,281
9,4%,5319,5781,6243,47,276
10,4%,5183,5633,6084,48,271
11,4%,5047,5486,5925,49,266
12,4%,4911,5338,5765,50,262
13,4%,4775,5191,5606,50,256
14,4%,4640,5043,5446,50,250
15,4%,4504,4895,5287,50,244
16,4%,4368,4748,5128,50,238
17,4%,4232,4600,4968,50,232
18,4%,4096,4453,4809,50,226
19,4%,3961,4305,4649,50,220
20,4%,3825,4157,4490,50,214
21,4%,3689,4010,4331,50,208
22,4%,3553,3862,4171,50,202
23,4%,3417,3715,4012,50,197
24,4%,3282,3567,3852,50,191
25,4%,3146,3419,3693,50,185
26,4%,3010,3272,3534,50,179
27,4%,2874,3124,3374,50,173
28,4%,2738,2977,3215,50,167
29,5%,2603,2829,3055,50,199
30,9%,2467,2681,2896,50,297
31,16%,2331,2534,2737,50,447
32,26%,2195,2386,2577,50,654
33,39%,2060,2239,2418,50,903
34,54%,1924,2091,2258,50,1151
35,68%,1788,1943,2099,50,1342
36,80%,1652,1796,1939,50,1442
37,88%,1516,1648,1780,50,1454
38,93%,1381,1501,1621,50,1399
39,100%,50,54,58,,54
40,100%,47,51,55,,51
41,100%,44,48,52,,48
42,100%,41,45,49,,45
43,100%,39,42,45,,42
44,100%,36,39,42,,39
45,100%,33,36,39,,36
46,100%,30,33,36,,33
47,100%,28,30,32,,30
48,100%,25,27,29,,27
49+,100%,22,24,26,,24
