Recipe Key,recipe_wieldable_tool_skinning_knife_t4_rare
Recipe Name,recipe_wieldable_tool_skinning_knife_t4_rare
Skill,skill_weapon_smithing
UnlockAtSkillLevel,0
SkillDifficulty,43
XPMultiplier,14.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,8267,8986,9704,40,398
1,4%,8108,8813,9518,41,392
2,4%,7949,8640,9331,42,386
3,4%,7790,8467,9145,43,380
4,4%,7631,8294,8958,44,374
5,4%,7472,8122,8771,45,368
6,4%,7313,7949,8585,46,362
7,4%,7154,7776,8398,47,356
8,4%,6995,7603,8211,48,350
9,4%,6836,7430,8025,49,344
10,4%,6677,7258,7838,50,338
11,4%,6518,7085,7652,50,331
12,4%,6359,6912,7465,50,324
13,4%,6200,6739,7278,50,318
14,4%,6041,6566,7092,50,311
15,4%,5882,6394,6905,50,304
16,4%,5723,6221,6718,50,297
17,4%,5564,6048,6532,50,290
18,4%,5405,5875,6345,50,283
19,4%,5246,5702,6159,50,276
20,4%,5087,5530,5972,50,269
21,4%,4928,5357,5785,50,262
22,4%,4769,5184,5599,50,255
23,4%,4610,5011,5412,50,248
24,4%,4451,4838,5225,50,242
25,4%,4292,4666,5039,50,235
26,4%,4133,4493,4852,50,228
27,4%,3974,4320,4666,50,221
28,4%,3815,4147,4479,50,214
29,4%,3656,3974,4292,50,207
30,4%,3497,3802,4106,50,200
31,4%,3338,3629,3919,50,193
32,4%,3180,3456,3732,50,186
33,5%,3021,3283,3546,50,223
34,9%,2862,3110,3359,50,337
35,16%,2703,2938,3173,50,511
36,26%,2544,2765,2986,50,751
37,39%,2385,2592,2799,50,1041
38,54%,2226,2419,2613,50,1328
39,68%,2067,2246,2426,50,1548
40,80%,1908,2074,2239,50,1663
41,88%,1749,1901,2053,50,1675
42,93%,1590,1728,1866,50,1610
43,100%,53,58,63,,58
44,100%,51,55,59,,55
45,100%,48,52,56,,52
46,100%,45,49,53,,49
47,100%,42,46,50,,46
48,100%,40,43,46,,43
49,100%,37,40,43,,40
50,100%,34,37,40,,37
51,100%,31,34,37,,34
52,100%,29,31,33,,31
53+,100%,26,28,30,,28
