Recipe Key,recipe_wieldable_tool_woodcutting_axe_t2_rare
Recipe Name,recipe_wieldable_tool_woodcutting_axe_t2_rare
Skill,skill_weapon_smithing
UnlockAtSkillLevel,0
SkillDifficulty,21
XPMultiplier,5.8
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1942,2111,2280,35,118
1,4%,1878,2042,2205,36,116
2,4%,1814,1972,2130,37,114
3,4%,1750,1902,2055,38,113
4,4%,1686,1833,1979,39,111
5,4%,1622,1763,1904,40,109
6,4%,1558,1694,1829,41,107
7,4%,1494,1624,1754,42,105
8,4%,1430,1554,1679,43,103
9,4%,1366,1485,1604,44,102
10,4%,1302,1415,1528,45,100
11,5%,1238,1346,1453,46,116
12,9%,1174,1276,1378,47,162
13,16%,1110,1206,1303,48,233
14,26%,1046,1137,1228,49,330
15,39%,982,1067,1153,50,446
16,54%,918,998,1077,50,561
17,68%,854,928,1002,50,649
18,80%,790,858,927,50,695
19,88%,726,789,852,50,699
20,93%,662,719,777,50,672
21,100%,33,36,39,,36
22,100%,30,33,36,,33
23,100%,28,30,32,,30
24,100%,25,27,29,,27
25,100%,22,24,26,,24
26,100%,19,21,23,,21
27,100%,17,18,19,,18
28,100%,14,15,16,,15
29,100%,11,12,13,,12
30,100%,8,9,10,,9
31+,100%,6,6,6,,6
