Recipe Key,recipe_wieldable_tool_woodcutting_axe_t4_rare
Recipe Name,Honed Steel Chopping Axe
Skill,skill_weapon_smithing
UnlockAtSkillLevel,0
SkillDifficulty,41
XPMultiplier,13.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,7342,7980,8618,40,358
1,4%,7195,7820,8446,41,352
2,4%,7048,7661,8274,42,347
3,4%,6901,7501,8101,43,341
4,4%,6754,7342,7929,44,336
5,4%,6607,7182,7757,45,330
6,4%,6461,7022,7584,46,325
7,4%,6314,6863,7412,47,320
8,4%,6167,6703,7239,48,314
9,4%,6020,6544,7067,49,309
10,4%,5873,6384,6895,50,303
11,4%,5726,6224,6722,50,297
12,4%,5580,6065,6550,50,291
13,4%,5433,5905,6378,50,284
14,4%,5286,5746,6205,50,278
15,4%,5139,5586,6033,50,271
16,4%,4992,5426,5861,50,265
17,4%,4845,5267,5688,50,259
18,4%,4699,5107,5516,50,252
19,4%,4552,4948,5343,50,246
20,4%,4405,4788,5171,50,240
21,4%,4258,4628,4999,50,233
22,4%,4111,4469,4826,50,227
23,4%,3964,4309,4654,50,220
24,4%,3818,4150,4482,50,214
25,4%,3671,3990,4309,50,208
26,4%,3524,3830,4137,50,201
27,4%,3377,3671,3964,50,195
28,4%,3230,3511,3792,50,188
29,4%,3083,3352,3620,50,182
30,4%,2937,3192,3447,50,176
31,5%,2790,3032,3275,50,210
32,9%,2643,2873,3103,50,315
33,16%,2496,2713,2930,50,475
34,26%,2349,2554,2758,50,697
35,39%,2202,2394,2586,50,964
36,54%,2056,2234,2413,50,1228
37,68%,1909,2075,2241,50,1431
38,80%,1762,1915,2068,50,1537
39,88%,1615,1756,1896,50,1548
40,93%,1468,1596,1724,50,1487
41,100%,52,56,60,,56
42,100%,49,53,57,,53
43,100%,46,50,54,,50
44,100%,43,47,51,,47
45,100%,40,44,48,,44
46,100%,38,41,44,,41
47,100%,35,38,41,,38
48,100%,32,35,38,,35
49,100%,29,32,35,,32
50,100%,27,29,31,,29
51+,100%,24,26,28,,26
