Recipe Key,recipe_activatable_drink_wine_damagebuff_25
Recipe Name,Piquette
Skill,skill_winery_and_brewing
UnlockAtSkillLevel,16
SkillDifficulty,30
XPMultiplier,3.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
16,4%,767,834,901,38,70
17,4%,734,798,862,39,69
18,4%,701,762,823,40,69
19,4%,668,726,784,41,68
20,5%,635,690,745,42,77
21,9%,602,654,706,43,100
22,16%,569,618,667,44,136
23,26%,535,582,629,45,184
24,39%,502,546,590,46,241
25,54%,469,510,551,47,297
26,68%,436,474,512,48,339
27,80%,403,438,473,49,359
28,88%,370,402,434,50,359
29,93%,337,366,395,50,344
30,100%,41,45,49,,45
31,100%,39,42,45,,42
32,100%,36,39,42,,39
33,100%,33,36,39,,36
34,100%,30,33,36,,33
35,100%,28,30,32,,30
36,100%,25,27,29,,27
37,100%,22,24,26,,24
38,100%,19,21,23,,21
39,100%,17,18,19,,18
40+,100%,14,15,16,,15
