Recipe Key,recipe_item_unlock_crafter_alcohol_crafters_1
Recipe Name,Barrel Pieces
Skill,skill_winery_and_brewing
UnlockAtSkillLevel,16
SkillDifficulty,30
XPMultiplier,3.2
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
16,4%,818,890,961,38,72
17,4%,783,851,919,39,71
18,4%,748,813,878,40,71
19,4%,712,774,836,41,70
20,5%,677,736,795,42,79
21,9%,642,698,753,43,104
22,16%,606,659,712,44,142
23,26%,571,621,670,45,194
24,39%,536,582,629,46,255
25,54%,500,544,588,47,315
26,68%,465,506,546,48,360
27,80%,430,467,505,49,382
28,88%,394,429,463,50,383
29,93%,359,390,422,50,366
30,100%,41,45,49,,45
31,100%,39,42,45,,42
32,100%,36,39,42,,39
33,100%,33,36,39,,36
34,100%,30,33,36,,33
35,100%,28,30,32,,30
36,100%,25,27,29,,27
37,100%,22,24,26,,24
38,100%,19,21,23,,21
39,100%,17,18,19,,18
40+,100%,14,15,16,,15
