Recipe Key,recipe_activatable_potion_arcance_resistance_medium_68
Recipe Name,Steady Mind II
Skill,skill_alchemy
UnlockAtSkillLevel,0
SkillDifficulty,35
XPMultiplier,3.9
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1285,1396,1508,20,75
1,4%,1256,1365,1474,20,74
2,4%,1227,1334,1441,20,73
3,4%,1198,1303,1407,20,71
4,4%,1170,1271,1373,20,70
5,4%,1141,1240,1339,21,70
6,4%,1112,1209,1306,22,69
7,4%,1084,1178,1272,23,69
8,4%,1055,1147,1238,24,69
9,4%,1026,1115,1205,25,69
10,4%,997,1084,1171,26,68
11,4%,969,1053,1137,27,68
12,4%,940,1022,1104,28,68
13,4%,911,991,1070,29,67
14,4%,883,959,1036,30,67
15,4%,854,928,1002,31,67
16,4%,825,897,969,32,67
17,4%,797,866,935,33,66
18,4%,768,835,901,34,66
19,4%,739,803,868,35,66
20,4%,710,772,834,36,65
21,4%,682,741,800,37,65
22,4%,653,710,767,38,65
23,4%,624,679,733,39,65
24,4%,596,647,699,40,64
25,5%,567,616,665,41,72
26,9%,538,585,632,42,93
27,16%,509,554,598,43,125
28,26%,481,523,564,44,168
29,39%,452,491,531,45,219
30,54%,423,460,497,46,269
31,68%,395,429,463,47,308
32,80%,366,398,430,48,327
33,88%,337,367,396,49,328
34,93%,309,335,362,50,315
35,100%,43,47,51,,47
36,100%,40,43,46,,43
37,100%,36,39,42,,39
38,100%,32,35,38,,35
39,100%,29,31,33,,31
40,100%,25,27,29,,27
41,100%,21,23,25,,23
42,100%,17,19,21,,19
43,100%,14,15,16,,15
44,100%,10,11,12,,11
45+,100%,6,7,8,,7
