Recipe Key,recipe_activatable_potion_arcance_resistance_small_39
Recipe Name,Steady Mind I
Skill,skill_alchemy
UnlockAtSkillLevel,0
SkillDifficulty,22
XPMultiplier,2.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,796,865,934,35,68
1,4%,770,837,904,36,68
2,4%,745,810,874,37,68
3,4%,719,782,845,38,68
4,4%,694,754,815,39,68
5,4%,669,727,785,40,67
6,4%,643,699,755,41,67
7,4%,618,672,725,42,67
8,4%,592,644,696,43,67
9,4%,567,616,666,44,67
10,4%,542,589,636,45,67
11,4%,516,561,606,46,67
12,5%,491,534,576,47,73
13,9%,466,506,546,48,91
14,16%,440,478,517,49,118
15,26%,415,451,487,50,154
16,39%,389,423,457,50,195
17,54%,364,396,427,50,236
18,68%,339,368,397,50,267
19,80%,313,340,368,50,282
20,88%,288,313,338,50,281
21,93%,262,285,308,50,269
22,100%,34,37,40,,37
23,100%,31,34,37,,34
24,100%,29,31,33,,31
25,100%,26,28,30,,28
26,100%,23,25,27,,25
27,100%,20,22,24,,22
28,100%,17,19,21,,19
29,100%,15,16,17,,16
30,100%,12,13,14,,13
31,100%,9,10,11,,10
32+,100%,6,7,8,,7
