Recipe Key,recipe_activatable_potion_arcance_resistance_small_52
Recipe Name,Poison Resistance II
Skill,skill_alchemy
UnlockAtSkillLevel,0
SkillDifficulty,28
XPMultiplier,2.9
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,806,876,946,20,54
1,4%,784,853,921,20,53
2,4%,763,829,896,20,52
3,4%,742,806,871,20,51
4,4%,720,783,846,20,51
5,4%,699,760,821,21,51
6,4%,678,737,796,22,51
7,4%,656,713,770,23,51
8,4%,635,690,745,24,51
9,4%,614,667,720,25,51
10,4%,592,644,695,26,51
11,4%,571,621,670,27,51
12,4%,550,597,645,28,51
13,4%,528,574,620,29,51
14,4%,507,551,595,30,51
15,4%,486,528,570,31,51
16,4%,464,505,545,32,51
17,4%,443,481,520,33,51
18,5%,422,458,495,34,57
19,9%,400,435,470,35,73
20,16%,379,412,445,36,96
21,26%,358,389,420,37,128
22,39%,336,365,395,38,166
23,54%,315,342,370,39,203
24,68%,293,319,345,40,230
25,80%,272,296,319,41,244
26,88%,251,273,294,42,245
27,93%,229,249,269,43,235
28,100%,37,40,43,,40
29,100%,33,36,39,,36
30,100%,29,32,35,,32
31,100%,26,28,30,,28
32,100%,22,24,26,,24
33,100%,18,20,22,,20
34,100%,15,16,17,,16
35,100%,11,12,13,,12
36,100%,7,8,9,,8
37,100%,4,4,4,,4
38+,100%,0,0,0,,0
