Recipe Key,recipe_activatable_potion_arcance_resistance_very_small_23
Recipe Name,Poison Resistance I
Skill,skill_alchemy
UnlockAtSkillLevel,0
SkillDifficulty,16
XPMultiplier,1.8
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,344,374,404,20,34
1,4%,331,360,389,20,34
2,4%,318,346,373,20,33
3,4%,305,331,358,20,32
4,4%,291,317,342,20,32
5,4%,278,302,327,20,31
6,5%,265,288,311,20,34
7,9%,252,274,295,20,44
8,16%,238,259,280,21,59
9,26%,225,245,264,22,80
10,39%,212,230,249,23,104
11,54%,199,216,233,24,128
12,68%,185,202,218,25,145
13,80%,172,187,202,26,155
14,88%,159,173,187,27,155
15,93%,146,158,171,28,149
16,100%,26,28,30,,28
17,100%,22,24,26,,24
18,100%,18,20,22,,20
19,100%,15,16,17,,16
20,100%,11,12,13,,12
21,100%,7,8,9,,8
22,100%,4,4,4,,4
23,100%,0,0,0,,0
24,100%,0,0,0,,0
25,100%,0,0,0,,0
26+,100%,0,0,0,,0
