Recipe Key,recipe_activatable_potion_hp_potion_small_45
Recipe Name,Minor Health Tonic II
Skill,skill_alchemy
UnlockAtSkillLevel,0
SkillDifficulty,25
XPMultiplier,2.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,665,723,781,20,48
1,4%,646,702,758,20,47
2,4%,627,681,736,20,46
3,4%,608,660,713,20,46
4,4%,588,640,691,20,45
5,4%,569,619,668,21,45
6,4%,550,598,646,22,45
7,4%,531,577,623,23,45
8,4%,512,556,601,24,45
9,4%,493,536,578,25,45
10,4%,474,515,556,26,46
11,4%,454,494,534,27,46
12,4%,435,473,511,28,46
13,4%,416,452,489,29,46
14,4%,397,432,466,30,46
15,5%,378,411,444,31,51
16,9%,359,390,421,32,66
17,16%,340,369,399,33,87
18,26%,321,348,376,34,115
19,39%,301,328,354,35,149
20,54%,282,307,331,36,182
21,68%,263,286,309,37,207
22,80%,244,265,286,38,219
23,88%,225,244,264,39,219
24,93%,206,224,241,40,211
25,100%,34,37,40,,37
26,100%,30,33,36,,33
27,100%,27,29,31,,29
28,100%,23,25,27,,25
29,100%,19,21,23,,21
30,100%,16,17,18,,17
31,100%,12,13,14,,13
32,100%,8,9,10,,9
33,100%,5,5,5,,5
34,100%,1,1,1,,1
35+,100%,0,0,0,,0
