Recipe Key,recipe_activatable_potion_hp_potion_small_55
Recipe Name,Minor Health Tonic III
Skill,skill_alchemy
UnlockAtSkillLevel,0
SkillDifficulty,30
XPMultiplier,3.2
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1384,1504,1624,38,97
1,4%,1348,1466,1583,39,96
2,4%,1313,1427,1541,40,95
3,4%,1278,1389,1500,41,95
4,4%,1242,1350,1458,42,94
5,4%,1207,1312,1417,43,94
6,4%,1172,1274,1375,44,93
7,4%,1136,1235,1334,45,93
8,4%,1101,1197,1293,46,92
9,4%,1066,1158,1251,47,91
10,4%,1030,1120,1210,48,91
11,4%,995,1082,1168,49,90
12,4%,960,1043,1127,50,90
13,4%,924,1005,1085,50,88
14,4%,889,966,1044,50,87
15,4%,854,928,1002,50,85
16,4%,818,890,961,50,84
17,4%,783,851,919,50,82
18,4%,748,813,878,50,81
19,4%,712,774,836,50,79
20,5%,677,736,795,50,87
21,9%,642,698,753,50,111
22,16%,606,659,712,50,147
23,26%,571,621,670,50,197
24,39%,536,582,629,50,257
25,54%,500,544,588,50,316
26,68%,465,506,546,50,361
27,80%,430,467,505,50,383
28,88%,394,429,463,50,383
29,93%,359,390,422,50,366
30,100%,41,45,49,,45
31,100%,39,42,45,,42
32,100%,36,39,42,,39
33,100%,33,36,39,,36
34,100%,30,33,36,,33
35,100%,28,30,32,,30
36,100%,25,27,29,,27
37,100%,22,24,26,,24
38,100%,19,21,23,,21
39,100%,17,18,19,,18
40+,100%,14,15,16,,15
