Recipe Key,recipe_activatable_potion_hp_potion_very_small_20
Recipe Name,Weak Health Tonic III
Skill,skill_alchemy
UnlockAtSkillLevel,0
SkillDifficulty,15
XPMultiplier,1.8
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,484,526,568,35,55
1,4%,464,504,544,36,55
2,4%,444,482,521,37,55
3,4%,424,461,498,38,55
4,4%,404,439,474,39,55
5,5%,384,418,451,40,60
6,9%,364,396,428,41,74
7,16%,344,374,404,42,95
8,26%,325,353,381,43,123
9,39%,305,331,358,44,156
10,54%,285,310,334,45,188
11,68%,265,288,311,46,211
12,80%,245,266,288,47,222
13,88%,225,245,264,48,221
14,93%,205,223,241,49,211
15,100%,28,30,32,,30
16,100%,25,27,29,,27
17,100%,22,24,26,,24
18,100%,19,21,23,,21
19,100%,17,18,19,,18
20,100%,14,15,16,,15
21,100%,11,12,13,,12
22,100%,8,9,10,,9
23,100%,6,6,6,,6
24,100%,3,3,3,,3
25+,100%,0,0,0,,0
