Recipe Key,recipe_activatable_potion_hp_potion_very_small_33
Recipe Name,Minor Health Tonic I
Skill,skill_alchemy
UnlockAtSkillLevel,0
SkillDifficulty,20
XPMultiplier,2.1
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,680,739,798,35,63
1,4%,657,714,771,36,63
2,4%,634,689,744,37,63
3,4%,611,664,717,38,63
4,4%,587,638,689,39,63
5,4%,564,613,662,40,63
6,4%,541,588,635,41,63
7,4%,518,563,608,42,63
8,4%,495,538,581,43,63
9,4%,471,512,553,44,63
10,5%,448,487,526,45,69
11,9%,425,462,499,46,85
12,16%,402,437,472,47,109
13,26%,379,412,445,48,142
14,39%,355,386,417,49,180
15,54%,332,361,390,50,218
16,68%,309,336,363,50,245
17,80%,286,311,336,50,258
18,88%,263,286,308,50,257
19,93%,240,260,281,50,246
20,100%,32,35,38,,35
21,100%,29,32,35,,32
22,100%,27,29,31,,29
23,100%,24,26,28,,26
24,100%,21,23,25,,23
25,100%,18,20,22,,20
26,100%,16,17,18,,17
27,100%,13,14,15,,14
28,100%,10,11,12,,11
29,100%,7,8,9,,8
30+,100%,5,5,5,,5
