Recipe Key,recipe_activatable_potion_hp_regeneration_very_small_34
Recipe Name,Minor Healing Potion I
Skill,skill_alchemy
UnlockAtSkillLevel,0
SkillDifficulty,20
XPMultiplier,2.1
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,464,504,544,20,39
1,4%,448,487,526,20,39
2,4%,433,470,508,20,38
3,4%,417,454,490,20,37
4,4%,402,437,472,20,37
5,4%,386,420,454,20,36
6,4%,371,403,435,20,35
7,4%,355,386,417,20,35
8,4%,340,370,399,21,35
9,4%,325,353,381,22,35
10,5%,309,336,363,23,40
11,9%,294,319,345,24,52
12,16%,278,302,327,25,69
13,26%,263,286,308,26,93
14,39%,247,269,290,27,121
15,54%,232,252,272,28,149
16,68%,216,235,254,29,170
17,80%,201,218,236,30,180
18,88%,185,202,218,31,181
19,93%,170,185,200,32,174
20,100%,29,32,35,,32
21,100%,26,28,30,,28
22,100%,22,24,26,,24
23,100%,18,20,22,,20
24,100%,15,16,17,,16
25,100%,11,12,13,,12
26,100%,7,8,9,,8
27,100%,4,4,4,,4
28,100%,0,0,0,,0
29,100%,0,0,0,,0
30+,100%,0,0,0,,0
