Recipe Key,recipe_activatable_potion_potion_of_protection_medium_77
Recipe Name,Potion of the Aegis
Skill,skill_alchemy
UnlockAtSkillLevel,0
SkillDifficulty,38
XPMultiplier,4.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1511,1643,1774,20,85
1,4%,1480,1608,1737,20,84
2,4%,1448,1574,1700,20,82
3,4%,1416,1539,1663,20,81
4,4%,1385,1505,1625,20,79
5,4%,1353,1471,1588,21,79
6,4%,1321,1436,1551,22,79
7,4%,1290,1402,1514,23,78
8,4%,1258,1367,1477,24,78
9,4%,1226,1333,1440,25,77
10,4%,1195,1299,1402,26,77
11,4%,1163,1264,1365,27,76
12,4%,1131,1230,1328,28,76
13,4%,1100,1195,1291,29,76
14,4%,1068,1161,1254,30,75
15,4%,1036,1127,1217,31,75
16,4%,1005,1092,1180,32,74
17,4%,973,1058,1142,33,74
18,4%,942,1023,1105,34,74
19,4%,910,989,1068,35,73
20,4%,878,955,1031,36,73
21,4%,847,920,994,37,72
22,4%,815,886,957,38,72
23,4%,783,851,920,39,71
24,4%,752,817,882,40,71
25,4%,720,783,845,41,71
26,4%,688,748,808,42,70
27,4%,657,714,771,43,70
28,5%,625,679,734,44,78
29,9%,593,645,697,45,101
30,16%,562,611,659,46,136
31,26%,530,576,622,47,184
32,39%,498,542,585,48,240
33,54%,467,507,548,49,296
34,68%,435,473,511,50,339
35,80%,404,439,474,50,360
36,88%,372,404,437,50,361
37,93%,340,370,399,50,347
38,100%,46,50,54,,50
39,100%,42,46,50,,46
40,100%,39,42,45,,42
41,100%,35,38,41,,38
42,100%,31,34,37,,34
43,100%,28,30,32,,30
44,100%,24,26,28,,26
45,100%,20,22,24,,22
46,100%,17,18,19,,18
47,100%,13,14,15,,14
48+,100%,9,10,11,,10
