Recipe Key,recipe_activatable_potion_potion_of_protection_small_47
Recipe Name,Aegis Potion VII
Skill,skill_alchemy
UnlockAtSkillLevel,0
SkillDifficulty,26
XPMultiplier,2.7
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,710,772,834,20,50
1,4%,691,751,811,20,49
2,4%,671,729,787,20,48
3,4%,651,707,764,20,47
4,4%,631,686,741,20,47
5,4%,611,664,717,21,47
6,4%,591,643,694,22,47
7,4%,571,621,671,23,47
8,4%,551,599,647,24,47
9,4%,532,578,624,25,47
10,4%,512,556,601,26,47
11,4%,492,535,577,27,47
12,4%,472,513,554,28,47
13,4%,452,491,531,29,47
14,4%,432,470,507,30,48
15,4%,412,448,484,31,48
16,5%,392,427,461,32,53
17,9%,373,405,437,33,68
18,16%,353,383,414,34,90
19,26%,333,362,391,35,119
20,39%,313,340,367,36,155
21,54%,293,319,344,37,189
22,68%,273,297,321,38,215
23,80%,253,275,297,39,227
24,88%,233,254,274,40,228
25,93%,214,232,251,41,219
26,100%,35,38,41,,38
27,100%,31,34,37,,34
28,100%,28,30,32,,30
29,100%,24,26,28,,26
30,100%,20,22,24,,22
31,100%,17,18,19,,18
32,100%,13,14,15,,14
33,100%,9,10,11,,10
34,100%,6,6,6,,6
35,100%,2,2,2,,2
36+,100%,0,0,0,,0
