Recipe Key,recipe_activatable_potion_potion_of_protection_small_54
Recipe Name,Aegis Potion VIII
Skill,skill_alchemy
UnlockAtSkillLevel,0
SkillDifficulty,29
XPMultiplier,3.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1264,1374,1484,38,91
1,4%,1231,1338,1445,39,91
2,4%,1198,1302,1406,40,90
3,4%,1165,1266,1367,41,90
4,4%,1132,1230,1328,42,90
5,4%,1098,1194,1290,43,89
6,4%,1065,1158,1251,44,89
7,4%,1032,1122,1212,45,88
8,4%,999,1086,1173,46,88
9,4%,966,1050,1134,47,87
10,4%,933,1014,1095,48,87
11,4%,900,978,1056,49,86
12,4%,867,942,1017,50,86
13,4%,834,906,978,50,84
14,4%,800,870,940,50,83
15,4%,767,834,901,50,81
16,4%,734,798,862,50,80
17,4%,701,762,823,50,78
18,4%,668,726,784,50,77
19,5%,635,690,745,50,84
20,9%,602,654,706,50,107
21,16%,569,618,667,50,141
22,26%,535,582,629,50,187
23,39%,502,546,590,50,243
24,54%,469,510,551,50,298
25,68%,436,474,512,50,339
26,80%,403,438,473,50,359
27,88%,370,402,434,50,359
28,93%,337,366,395,50,344
29,100%,40,44,48,,44
30,100%,38,41,44,,41
31,100%,35,38,41,,38
32,100%,32,35,38,,35
33,100%,29,32,35,,32
34,100%,27,29,31,,29
35,100%,24,26,28,,26
36,100%,21,23,25,,23
37,100%,18,20,22,,20
38,100%,16,17,18,,17
39+,100%,13,14,15,,14
