Recipe Key,recipe_activatable_potion_potion_of_vitality_medium_80
Recipe Name,Tonic of Vitality I
Skill,skill_alchemy
UnlockAtSkillLevel,0
SkillDifficulty,39
XPMultiplier,4.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1615,1755,1895,20,89
1,4%,1581,1719,1857,20,88
2,4%,1548,1683,1818,20,87
3,4%,1515,1647,1779,20,85
4,4%,1482,1611,1740,20,84
5,4%,1449,1575,1701,21,83
6,4%,1416,1539,1662,22,83
7,4%,1383,1503,1623,23,82
8,4%,1350,1467,1584,24,82
9,4%,1317,1431,1545,25,81
10,4%,1283,1395,1507,26,81
11,4%,1250,1359,1468,27,80
12,4%,1217,1323,1429,28,80
13,4%,1184,1287,1390,29,79
14,4%,1151,1251,1351,30,79
15,4%,1118,1215,1312,31,78
16,4%,1085,1179,1273,32,78
17,4%,1052,1143,1234,33,77
18,4%,1018,1107,1196,34,77
19,4%,985,1071,1157,35,76
20,4%,952,1035,1118,36,76
21,4%,919,999,1079,37,75
22,4%,886,963,1040,38,75
23,4%,853,927,1001,39,75
24,4%,820,891,962,40,74
25,4%,787,855,923,41,74
26,4%,753,819,885,42,73
27,4%,720,783,846,43,73
28,4%,687,747,807,44,72
29,5%,654,711,768,45,81
30,9%,621,675,729,46,105
31,16%,588,639,690,47,142
32,26%,555,603,651,48,191
33,39%,522,567,612,49,251
34,54%,489,531,573,50,309
35,68%,455,495,535,50,354
36,80%,422,459,496,50,376
37,88%,389,423,457,50,378
38,93%,356,387,418,50,363
39,100%,47,51,55,,51
40,100%,43,47,51,,47
41,100%,40,43,46,,43
42,100%,36,39,42,,39
43,100%,32,35,38,,35
44,100%,29,31,33,,31
45,100%,25,27,29,,27
46,100%,21,23,25,,23
47,100%,17,19,21,,19
48,100%,14,15,16,,15
49+,100%,10,11,12,,11
