Recipe Key,recipe_item_enchanting_consumable_tier_4
Recipe Name,Sanctified Oil IV
Skill,skill_alchemy
UnlockAtSkillLevel,0
SkillDifficulty,36
XPMultiplier,3.8
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1895,2060,2224,38,119
1,4%,1853,2014,2175,39,118
2,4%,1811,1968,2126,40,117
3,4%,1769,1923,2077,41,116
4,4%,1727,1877,2027,42,115
5,4%,1685,1832,1978,43,115
6,4%,1643,1786,1929,44,114
7,4%,1601,1740,1880,45,113
8,4%,1559,1695,1830,46,112
9,4%,1517,1649,1781,47,111
10,4%,1475,1604,1732,48,110
11,4%,1433,1558,1683,49,109
12,4%,1391,1512,1633,50,108
13,4%,1349,1467,1584,50,107
14,4%,1308,1421,1535,50,105
15,4%,1266,1376,1486,50,103
16,4%,1224,1330,1436,50,101
17,4%,1182,1284,1387,50,99
18,4%,1140,1239,1338,50,98
19,4%,1098,1193,1289,50,96
20,4%,1056,1148,1239,50,94
21,4%,1014,1102,1190,50,92
22,4%,972,1056,1141,50,90
23,4%,930,1011,1092,50,88
24,4%,888,965,1042,50,87
25,4%,846,920,993,50,85
26,5%,804,874,944,50,94
27,9%,762,828,895,50,123
28,16%,720,783,845,50,167
29,26%,678,737,796,50,228
30,39%,636,692,747,50,300
31,54%,594,646,698,50,371
32,68%,552,600,648,50,425
33,80%,510,555,599,50,452
34,88%,468,509,550,50,453
35,93%,427,464,501,50,435
36,100%,47,51,55,,51
37,100%,44,48,52,,48
38,100%,41,45,49,,45
39,100%,39,42,45,,42
40,100%,36,39,42,,39
41,100%,33,36,39,,36
42,100%,30,33,36,,33
43,100%,28,30,32,,30
44,100%,25,27,29,,27
45,100%,22,24,26,,24
46+,100%,19,21,23,,21
