Recipe Key,recipe_wearable_metal_chest_pilgrim_bol2_t4_uncommon
Recipe Name,Pilgrim's Breastplate IV
Skill,skill_armor_smithing
UnlockAtSkillLevel,20
SkillDifficulty,34
XPMultiplier,4.9
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
20,4%,857,931,1005,20,56
21,4%,820,892,963,20,55
22,4%,784,853,921,20,53
23,4%,748,813,878,20,52
24,5%,712,774,836,20,60
25,9%,676,735,794,21,88
26,16%,640,696,751,22,130
27,26%,604,657,709,23,187
28,39%,568,617,667,24,255
29,54%,532,578,624,25,323
30,68%,496,539,582,26,376
31,80%,460,500,540,27,404
32,88%,424,461,497,28,408
33,93%,388,421,455,29,394
34,100%,42,46,50,,46
35,100%,39,42,45,,42
36,100%,35,38,41,,38
37,100%,31,34,37,,34
38,100%,28,30,32,,30
39,100%,24,26,28,,26
40,100%,20,22,24,,22
41,100%,17,18,19,,18
42,100%,13,14,15,,14
43,100%,9,10,11,,10
44+,100%,6,6,6,,6
