Recipe Key,recipe_wearable_metal_chest_warrior_pt_t4_uncommon
Recipe Name,Warrior's Cuirass of Windlash IV
Skill,skill_armor_smithing
UnlockAtSkillLevel,20
SkillDifficulty,35
XPMultiplier,5.1
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
20,4%,929,1010,1091,20,60
21,4%,891,969,1047,20,58
22,4%,854,928,1002,20,56
23,4%,816,887,958,20,55
24,4%,779,847,914,20,53
25,5%,741,806,870,21,63
26,9%,704,765,826,22,92
27,16%,666,724,782,23,135
28,26%,629,683,738,24,194
29,39%,591,643,694,25,266
30,54%,554,602,650,26,337
31,68%,516,561,606,27,391
32,80%,479,520,562,28,420
33,88%,441,479,518,29,425
34,93%,404,439,474,30,410
35,100%,43,47,51,,47
36,100%,40,43,46,,43
37,100%,36,39,42,,39
38,100%,32,35,38,,35
39,100%,29,31,33,,31
40,100%,25,27,29,,27
41,100%,21,23,25,,23
42,100%,17,19,21,,19
43,100%,14,15,16,,15
44,100%,10,11,12,,11
45+,100%,6,7,8,,7
