Recipe Key,recipe_wearable_metal_feet_ironside_ds_t3_uncommon
Recipe Name,Ironside's Sabatons of Quiet Guard III
Skill,skill_armor_smithing
UnlockAtSkillLevel,14
SkillDifficulty,28
XPMultiplier,3.7
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
14,4%,647,703,759,20,47
15,4%,620,673,727,20,46
16,4%,592,644,695,20,45
17,4%,565,614,663,20,44
18,5%,538,585,631,20,50
19,9%,511,555,599,21,71
20,16%,483,525,567,22,102
21,26%,456,496,535,23,145
22,39%,429,466,503,24,196
23,54%,402,437,472,25,247
24,68%,374,407,440,26,286
25,80%,347,377,408,27,306
26,88%,320,348,376,28,309
27,93%,293,318,344,29,298
28,100%,37,40,43,,40
29,100%,33,36,39,,36
30,100%,29,32,35,,32
31,100%,26,28,30,,28
32,100%,22,24,26,,24
33,100%,18,20,22,,20
34,100%,15,16,17,,16
35,100%,11,12,13,,12
36,100%,7,8,9,,8
37,100%,4,4,4,,4
38+,100%,0,0,0,,0
