Recipe Key,recipe_wearable_metal_feet_pilgrim_boj2_t3_uncommon
Recipe Name,Pilgrim's Sabatons III
Skill,skill_armor_smithing
UnlockAtSkillLevel,13
SkillDifficulty,27
XPMultiplier,3.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
13,4%,612,665,718,20,46
14,4%,586,637,688,20,45
15,4%,560,609,658,20,44
16,4%,535,581,627,20,42
17,5%,509,553,597,20,49
18,9%,483,525,567,21,68
19,16%,457,497,537,22,98
20,26%,431,469,507,23,138
21,39%,406,441,476,24,187
22,54%,380,413,446,25,234
23,68%,354,385,416,26,271
24,80%,328,357,386,27,290
25,88%,303,329,355,28,292
26,93%,277,301,325,29,282
27,100%,36,39,42,,39
28,100%,32,35,38,,35
29,100%,29,31,33,,31
30,100%,25,27,29,,27
31,100%,21,23,25,,23
32,100%,17,19,21,,19
33,100%,14,15,16,,15
34,100%,10,11,12,,11
35,100%,6,7,8,,7
36,100%,3,3,3,,3
37+,100%,0,0,0,,0
