Recipe Key,recipe_wearable_metal_feet_warrior_ss_t3_uncommon
Recipe Name,Warrior's Sabatons of Swift March III
Skill,skill_armor_smithing
UnlockAtSkillLevel,14
SkillDifficulty,28
XPMultiplier,3.7
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
14,4%,946,1029,1111,38,78
15,4%,905,984,1063,39,77
16,4%,865,940,1015,40,76
17,4%,824,895,967,41,75
18,5%,783,851,919,42,85
19,9%,742,807,871,43,115
20,16%,701,762,823,44,159
21,26%,660,718,775,45,219
22,39%,620,673,727,46,291
23,54%,579,629,679,47,361
24,68%,538,585,631,48,414
25,80%,497,540,583,49,441
26,88%,456,496,535,50,442
27,93%,415,451,488,50,423
28,100%,40,43,46,,43
29,100%,37,40,43,,40
30,100%,34,37,40,,37
31,100%,31,34,37,,34
32,100%,29,31,33,,31
33,100%,26,28,30,,28
34,100%,23,25,27,,25
35,100%,20,22,24,,22
36,100%,17,19,21,,19
37,100%,15,16,17,,16
38+,100%,12,13,14,,13
