Recipe Key,recipe_wearable_metal_feet_warrior_ss_t4_rare
Recipe Name,Warrior's Sabatons of Swift March IV
Skill,skill_armor_smithing
UnlockAtSkillLevel,0
SkillDifficulty,41
XPMultiplier,13.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,4943,5373,5803,20,234
1,4%,4845,5267,5688,20,230
2,4%,4748,5160,5573,20,226
3,4%,4650,5054,5458,21,222
4,4%,4552,4948,5343,22,219
5,4%,4454,4841,5228,23,216
6,4%,4356,4735,5114,24,212
7,4%,4258,4628,4999,25,209
8,4%,4160,4522,4884,26,206
9,4%,4062,4416,4769,27,203
10,4%,3964,4309,4654,28,199
11,4%,3867,4203,4539,29,196
12,4%,3769,4096,4424,30,193
13,4%,3671,3990,4309,31,189
14,4%,3573,3884,4194,32,186
15,4%,3475,3777,4079,33,183
16,4%,3377,3671,3964,34,179
17,4%,3279,3564,3850,35,176
18,4%,3181,3458,3735,36,173
19,4%,3083,3352,3620,37,170
20,4%,2986,3245,3505,38,166
21,4%,2888,3139,3390,39,163
22,4%,2790,3032,3275,40,160
23,4%,2692,2926,3160,41,156
24,4%,2594,2820,3045,42,153
25,4%,2496,2713,2930,43,150
26,4%,2398,2607,2815,44,147
27,4%,2300,2500,2700,45,143
28,4%,2202,2394,2586,46,140
29,4%,2105,2288,2471,47,137
30,4%,2007,2181,2356,48,133
31,5%,1909,2075,2241,49,157
32,9%,1811,1968,2126,50,230
33,16%,1713,1862,2011,50,339
34,26%,1615,1756,1896,50,491
35,39%,1517,1649,1781,50,673
36,54%,1419,1543,1666,50,855
37,68%,1321,1436,1551,50,996
38,80%,1224,1330,1436,50,1071
39,88%,1126,1224,1321,50,1081
40,93%,1028,1117,1207,50,1042
41,100%,49,53,57,,53
42,100%,45,49,53,,49
43,100%,41,45,49,,45
44,100%,38,41,44,,41
45,100%,34,37,40,,37
46,100%,30,33,36,,33
47,100%,27,29,31,,29
48,100%,23,25,27,,25
49,100%,19,21,23,,21
50,100%,16,17,18,,17
51+,100%,12,13,14,,13
