Recipe Key,recipe_wearable_metal_head_herald_di_t4_uncommon
Recipe Name,Herald's Helm of the Immovable IV
Skill,skill_armor_smithing
UnlockAtSkillLevel,24
SkillDifficulty,39
XPMultiplier,6.2
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
24,4%,1129,1228,1326,20,68
25,4%,1084,1178,1272,20,66
26,4%,1038,1128,1219,20,64
27,4%,992,1079,1165,20,62
28,4%,947,1029,1112,20,60
29,5%,901,980,1058,21,72
30,9%,856,930,1004,22,107
31,16%,810,880,951,23,160
32,26%,764,831,897,24,232
33,39%,719,781,844,25,320
34,54%,673,732,790,26,407
35,68%,627,682,737,27,474
36,80%,582,632,683,28,510
37,88%,536,583,629,29,515
38,93%,491,533,576,30,498
39,100%,47,51,55,,51
40,100%,43,47,51,,47
41,100%,40,43,46,,43
42,100%,36,39,42,,39
43,100%,32,35,38,,35
44,100%,29,31,33,,31
45,100%,25,27,29,,27
46,100%,21,23,25,,23
47,100%,17,19,21,,19
48,100%,14,15,16,,15
49+,100%,10,11,12,,11
