Recipe Key,recipe_wearable_metal_head_ironside_f_t2_common
Recipe Name,Ironside's Helm of Warcry II
Skill,skill_armor_smithing
UnlockAtSkillLevel,7
SkillDifficulty,16
XPMultiplier,1.9
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
7,9%,266,289,312,20,45
8,16%,252,274,295,20,61
9,26%,238,258,279,20,82
10,39%,224,243,263,20,107
11,54%,210,228,246,20,132
12,68%,196,213,230,20,152
13,80%,182,198,213,20,162
14,88%,168,182,197,20,163
15,93%,154,167,181,21,157
16,100%,26,28,30,,28
17,100%,22,24,26,,24
18,100%,18,20,22,,20
19,100%,15,16,17,,16
20,100%,11,12,13,,12
21,100%,7,8,9,,8
22,100%,4,4,4,,4
23,100%,0,0,0,,0
24,100%,0,0,0,,0
25,100%,0,0,0,,0
26+,100%,0,0,0,,0
