Recipe Key,recipe_wearable_metal_head_ironside_f_t3_uncommon
Recipe Name,Ironside's Helm of Warcry III
Skill,skill_armor_smithing
UnlockAtSkillLevel,15
SkillDifficulty,29
XPMultiplier,4.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
15,4%,699,760,821,20,50
16,4%,670,728,786,20,48
17,4%,640,696,752,20,47
18,4%,611,664,717,20,46
19,5%,581,632,683,20,53
20,9%,552,600,648,21,75
21,16%,523,568,613,22,109
22,26%,493,536,579,23,156
23,39%,464,504,544,24,211
24,54%,434,472,510,25,266
25,68%,405,440,475,26,308
26,80%,375,408,441,27,331
27,88%,346,376,406,28,334
28,93%,316,344,372,29,322
29,100%,38,41,44,,41
30,100%,34,37,40,,37
31,100%,30,33,36,,33
32,100%,27,29,31,,29
33,100%,23,25,27,,25
34,100%,19,21,23,,21
35,100%,16,17,18,,17
36,100%,12,13,14,,13
37,100%,8,9,10,,9
38,100%,5,5,5,,5
39+,100%,1,1,1,,1
