Recipe Key,recipe_wearable_metal_head_ironside_f_t4_uncommon
Recipe Name,Ironside's Helm of Warcry IV
Skill,skill_armor_smithing
UnlockAtSkillLevel,24
SkillDifficulty,39
XPMultiplier,5.9
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
24,4%,1075,1168,1262,20,66
25,4%,1031,1121,1211,20,64
26,4%,988,1074,1160,20,62
27,4%,944,1027,1109,20,60
28,4%,901,979,1058,20,58
29,5%,858,932,1007,21,70
30,9%,814,885,956,22,103
31,16%,771,838,905,23,153
32,26%,727,791,854,24,222
33,39%,684,743,803,25,305
34,54%,641,696,752,26,387
35,68%,597,649,701,27,451
36,80%,554,602,650,28,485
37,88%,510,555,599,29,491
38,93%,467,507,548,30,474
39,100%,47,51,55,,51
40,100%,43,47,51,,47
41,100%,40,43,46,,43
42,100%,36,39,42,,39
43,100%,32,35,38,,35
44,100%,29,31,33,,31
45,100%,25,27,29,,27
46,100%,21,23,25,,23
47,100%,17,19,21,,19
48,100%,14,15,16,,15
49+,100%,10,11,12,,11
