Recipe Key,recipe_wearable_metal_legs_herald_rb_t4_rare
Recipe Name,Herald's Greaves of the Unfallen IV
Skill,skill_armor_smithing
UnlockAtSkillLevel,0
SkillDifficulty,39
XPMultiplier,12.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,4413,4797,5181,20,211
1,4%,4323,4699,5074,20,207
2,4%,4232,4600,4968,20,203
3,4%,4142,4502,4862,20,199
4,4%,4051,4403,4756,20,195
5,4%,3961,4305,4649,21,192
6,4%,3870,4207,4543,22,189
7,4%,3780,4108,4437,23,186
8,4%,3689,4010,4331,24,183
9,4%,3598,3911,4224,25,180
10,4%,3508,3813,4118,26,177
11,4%,3417,3715,4012,27,175
12,4%,3327,3616,3905,28,172
13,4%,3236,3518,3799,29,169
14,4%,3146,3419,3693,30,166
15,4%,3055,3321,3587,31,163
16,4%,2965,3223,3480,32,160
17,4%,2874,3124,3374,33,157
18,4%,2784,3026,3268,34,154
19,4%,2693,2927,3162,35,151
20,4%,2603,2829,3055,36,148
21,4%,2512,2731,2949,37,145
22,4%,2422,2632,2843,38,142
23,4%,2331,2534,2737,39,139
24,4%,2241,2435,2630,40,136
25,4%,2150,2337,2524,41,133
26,4%,2060,2239,2418,42,130
27,4%,1969,2140,2311,43,127
28,4%,1878,2042,2205,44,124
29,5%,1788,1943,2099,45,147
30,9%,1697,1845,1993,46,215
31,16%,1607,1747,1886,47,318
32,26%,1516,1648,1780,48,461
33,39%,1426,1550,1674,49,634
34,54%,1335,1451,1568,50,806
35,68%,1245,1353,1461,50,939
36,80%,1154,1255,1355,50,1010
37,88%,1064,1156,1249,50,1021
38,93%,973,1058,1142,50,987
39,100%,47,51,55,,51
40,100%,43,47,51,,47
41,100%,40,43,46,,43
42,100%,36,39,42,,39
43,100%,32,35,38,,35
44,100%,29,31,33,,31
45,100%,25,27,29,,27
46,100%,21,23,25,,23
47,100%,17,19,21,,19
48,100%,14,15,16,,15
49+,100%,10,11,12,,11
