Recipe Key,recipe_wearable_metal_legs_ironside_ps_t4_common
Recipe Name,Ironside's Greaves of Sacred Guard IV
Skill,skill_armor_smithing
UnlockAtSkillLevel,19
SkillDifficulty,33
XPMultiplier,3.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
19,4%,629,684,739,20,47
20,4%,603,655,708,20,45
21,4%,576,626,677,20,44
22,4%,550,598,645,20,43
23,5%,523,569,614,20,49
24,9%,497,540,583,21,70
25,16%,470,511,552,22,100
26,26%,444,482,521,23,142
27,39%,417,454,490,24,191
28,54%,391,425,459,25,241
29,68%,364,396,428,26,278
30,80%,338,367,397,27,298
31,88%,311,338,365,28,301
32,93%,285,310,334,29,290
33,100%,41,45,49,,45
34,100%,38,41,44,,41
35,100%,34,37,40,,37
36,100%,30,33,36,,33
37,100%,27,29,31,,29
38,100%,23,25,27,,25
39,100%,19,21,23,,21
40,100%,16,17,18,,17
41,100%,12,13,14,,13
42,100%,8,9,10,,9
43+,100%,5,5,5,,5
