Recipe Key,recipe_wearable_metal_legs_pilgrim_bob_t3_common
Recipe Name,Pilgrim's Legguards III
Skill,skill_armor_smithing
UnlockAtSkillLevel,9
SkillDifficulty,22
XPMultiplier,2.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
9,4%,389,423,457,20,36
10,4%,372,405,437,20,35
11,4%,355,386,417,20,35
12,5%,339,368,397,20,39
13,9%,322,350,378,20,51
14,16%,305,331,358,20,70
15,26%,288,313,338,20,96
16,39%,271,294,318,20,127
17,54%,254,276,298,21,159
18,68%,237,258,278,22,183
19,80%,220,239,258,23,195
20,88%,203,221,238,24,197
21,93%,186,202,219,25,190
22,100%,31,34,37,,34
23,100%,28,30,32,,30
24,100%,24,26,28,,26
25,100%,20,22,24,,22
26,100%,17,18,19,,18
27,100%,13,14,15,,14
28,100%,9,10,11,,10
29,100%,6,6,6,,6
30,100%,2,2,2,,2
31,100%,0,0,0,,0
32+,100%,0,0,0,,0
