Recipe Key,recipe_wearable_metal_legs_warrior_r_t3_rare
Recipe Name,Warrior's Greaves of Rage III
Skill,skill_armor_smithing
UnlockAtSkillLevel,0
SkillDifficulty,29
XPMultiplier,8.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,2367,2573,2779,20,122
1,4%,2306,2507,2707,20,119
2,4%,2245,2440,2635,20,117
3,4%,2184,2374,2564,20,114
4,4%,2123,2307,2492,20,111
5,4%,2062,2241,2420,21,110
6,4%,2001,2175,2349,22,108
7,4%,1940,2108,2277,23,106
8,4%,1878,2042,2205,24,105
9,4%,1817,1975,2133,25,103
10,4%,1756,1909,2062,26,101
11,4%,1695,1843,1990,27,100
12,4%,1634,1776,1918,28,98
13,4%,1573,1710,1847,29,96
14,4%,1512,1643,1775,30,95
15,4%,1451,1577,1703,31,93
16,4%,1390,1511,1631,32,91
17,4%,1329,1444,1560,33,89
18,4%,1268,1378,1488,34,88
19,5%,1206,1311,1416,35,103
20,9%,1145,1245,1345,36,150
21,16%,1084,1179,1273,37,219
22,26%,1023,1112,1201,38,316
23,39%,962,1046,1129,39,431
24,54%,901,979,1058,40,547
25,68%,840,913,986,41,636
26,80%,779,847,914,42,684
27,88%,718,780,843,43,690
28,93%,657,714,771,44,667
29,100%,38,41,44,,41
30,100%,34,37,40,,37
31,100%,30,33,36,,33
32,100%,27,29,31,,29
33,100%,23,25,27,,25
34,100%,19,21,23,,21
35,100%,16,17,18,,17
36,100%,12,13,14,,13
37,100%,8,9,10,,9
38,100%,5,5,5,,5
39+,100%,1,1,1,,1
