Recipe Key,recipe_wieldable_offhand_shield_heater_t2_common
Recipe Name,Iron Heater
Skill,skill_armor_smithing
UnlockAtSkillLevel,6
SkillDifficulty,13
XPMultiplier,1.7
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
6,26%,213,231,250,20,75
7,39%,200,218,235,20,97
8,54%,188,204,220,20,119
9,68%,175,190,206,20,136
10,80%,163,177,191,20,145
11,88%,150,163,176,20,146
12,93%,138,150,162,20,140
13,100%,23,25,27,,25
14,100%,19,21,23,,21
15,100%,16,17,18,,17
16,100%,12,13,14,,13
17,100%,8,9,10,,9
18,100%,5,5,5,,5
19,100%,1,1,1,,1
20,100%,0,0,0,,0
21,100%,0,0,0,,0
22,100%,0,0,0,,0
23+,100%,0,0,0,,0
