Recipe Key,recipe_wieldable_offhand_shield_heater_t2_rare
Recipe Name,Warded Iron Heater
Skill,skill_armor_smithing
UnlockAtSkillLevel,0
SkillDifficulty,19
XPMultiplier,5.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1195,1299,1403,20,71
1,4%,1154,1254,1355,20,69
2,4%,1113,1210,1306,20,68
3,4%,1072,1165,1258,20,66
4,4%,1030,1120,1210,20,64
5,4%,989,1075,1161,20,62
6,4%,948,1030,1113,20,60
7,4%,907,986,1064,20,59
8,4%,866,941,1016,21,58
9,5%,824,896,968,22,69
10,9%,783,851,919,23,101
11,16%,742,806,871,24,149
12,26%,701,762,823,25,215
13,39%,659,717,774,26,295
14,54%,618,672,726,27,375
15,68%,577,627,677,28,437
16,80%,536,582,629,29,470
17,88%,495,538,581,30,476
18,93%,453,493,532,31,460
19,100%,29,31,33,,31
20,100%,25,27,29,,27
21,100%,21,23,25,,23
22,100%,17,19,21,,19
23,100%,14,15,16,,15
24,100%,10,11,12,,11
25,100%,6,7,8,,7
26,100%,3,3,3,,3
27,100%,0,0,0,,0
28,100%,0,0,0,,0
29+,100%,0,0,0,,0
