Recipe Key,recipe_wieldable_offhand_shield_heater_t3_uncommon
Recipe Name,Attuned Wrought Iron Heater
Skill,skill_armor_smithing
UnlockAtSkillLevel,13
SkillDifficulty,26
XPMultiplier,3.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
13,4%,586,637,688,20,45
14,4%,560,609,658,20,44
15,4%,535,581,627,20,42
16,5%,509,553,597,20,49
17,9%,483,525,567,20,67
18,16%,457,497,537,21,97
19,26%,431,469,507,22,137
20,39%,406,441,476,23,186
21,54%,380,413,446,24,234
22,68%,354,385,416,25,271
23,80%,328,357,386,26,290
24,88%,303,329,355,27,292
25,93%,277,301,325,28,282
26,100%,35,38,41,,38
27,100%,31,34,37,,34
28,100%,28,30,32,,30
29,100%,24,26,28,,26
30,100%,20,22,24,,22
31,100%,17,18,19,,18
32,100%,13,14,15,,14
33,100%,9,10,11,,10
34,100%,6,6,6,,6
35,100%,2,2,2,,2
36+,100%,0,0,0,,0
