Recipe Key,recipe_activatable_foodcooked_bread_hpregen_54
Recipe Name,Malt Bread
Skill,skill_baking
UnlockAtSkillLevel,23
SkillDifficulty,38
XPMultiplier,4.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
23,4%,820,891,962,20,55
24,4%,787,855,923,20,53
25,4%,753,819,885,20,52
26,4%,720,783,846,20,51
27,4%,687,747,807,20,49
28,5%,654,711,768,21,58
29,9%,621,675,729,22,83
30,16%,588,639,690,23,121
31,26%,555,603,651,24,174
32,39%,522,567,612,25,236
33,54%,489,531,573,26,298
34,68%,455,495,535,27,346
35,80%,422,459,496,28,372
36,88%,389,423,457,29,375
37,93%,356,387,418,30,362
38,100%,46,50,54,,50
39,100%,42,46,50,,46
40,100%,39,42,45,,42
41,100%,35,38,41,,38
42,100%,31,34,37,,34
43,100%,28,30,32,,30
44,100%,24,26,28,,26
45,100%,20,22,24,,22
46,100%,17,18,19,,18
47,100%,13,14,15,,14
48+,100%,9,10,11,,10
