Recipe Key,recipe_activatable_foodcooked_sweet_and_dessert_damagebuff_23
Recipe Name,Simple Whitbread
Skill,skill_baking
UnlockAtSkillLevel,8
SkillDifficulty,19
XPMultiplier,2.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
8,4%,309,336,363,20,33
9,5%,294,320,346,20,36
10,9%,280,304,328,20,47
11,16%,265,288,311,20,63
12,26%,250,272,294,20,85
13,39%,236,256,276,20,112
14,54%,221,240,259,20,139
15,68%,206,224,242,20,159
16,80%,191,208,225,21,170
17,88%,177,192,207,22,171
18,93%,162,176,190,23,165
19,100%,29,31,33,,31
20,100%,25,27,29,,27
21,100%,21,23,25,,23
22,100%,17,19,21,,19
23,100%,14,15,16,,15
24,100%,10,11,12,,11
25,100%,6,7,8,,7
26,100%,3,3,3,,3
27,100%,0,0,0,,0
28,100%,0,0,0,,0
29+,100%,0,0,0,,0
