Recipe Key,recipe_activatable_foodcooked_sweet_and_dessert_damagebuff_52
Recipe Name,Heavy Whitbread
Skill,skill_baking
UnlockAtSkillLevel,22
SkillDifficulty,37
XPMultiplier,4.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
22,4%,729,792,855,20,51
23,4%,699,760,821,20,50
24,4%,670,728,786,20,48
25,4%,640,696,752,20,47
26,4%,611,664,717,20,46
27,5%,581,632,683,21,54
28,9%,552,600,648,22,76
29,16%,523,568,613,23,110
30,26%,493,536,579,24,156
31,39%,464,504,544,25,212
32,54%,434,472,510,26,267
33,68%,405,440,475,27,309
34,80%,375,408,441,28,331
35,88%,346,376,406,29,334
36,93%,316,344,372,30,322
37,100%,45,49,53,,49
38,100%,41,45,49,,45
39,100%,38,41,44,,41
40,100%,34,37,40,,37
41,100%,30,33,36,,33
42,100%,27,29,31,,29
43,100%,23,25,27,,25
44,100%,19,21,23,,21
45,100%,16,17,18,,17
46,100%,12,13,14,,13
47+,100%,8,9,10,,9
