Recipe Key,recipe_item_material_bronze_arrowhead
Recipe Name,Bronze Arrowhead
Skill,skill_blacksmithing
UnlockAtSkillLevel,5
SkillDifficulty,10
XPMultiplier,1.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
5,54%,144,156,168,20,93
6,68%,134,146,157,20,106
7,80%,124,135,146,20,112
8,88%,115,125,135,20,112
9,93%,105,114,124,20,108
10,100%,20,22,24,,22
11,100%,17,18,19,,18
12,100%,13,14,15,,14
13,100%,9,10,11,,10
14,100%,6,6,6,,6
15,100%,2,2,2,,2
16,100%,0,0,0,,0
17,100%,0,0,0,,0
18,100%,0,0,0,,0
19,100%,0,0,0,,0
20+,100%,0,0,0,,0
