Recipe Key,recipe_item_material_iron_knife_blade
Recipe Name,Iron Knife Blade
Skill,skill_blacksmithing
UnlockAtSkillLevel,6
SkillDifficulty,13
XPMultiplier,1.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
6,26%,188,204,220,20,68
7,39%,177,192,207,20,87
8,54%,166,180,194,20,106
9,68%,155,168,181,20,121
10,80%,144,156,168,20,128
11,88%,132,144,156,20,129
12,93%,121,132,143,20,124
13,100%,23,25,27,,25
14,100%,19,21,23,,21
15,100%,16,17,18,,17
16,100%,12,13,14,,13
17,100%,8,9,10,,9
18,100%,5,5,5,,5
19,100%,1,1,1,,1
20,100%,0,0,0,,0
21,100%,0,0,0,,0
22,100%,0,0,0,,0
23+,100%,0,0,0,,0
