Recipe Key,recipe_item_material_iron_sheet
Recipe Name,Iron Sheet
Skill,skill_blacksmithing
UnlockAtSkillLevel,7
SkillDifficulty,15
XPMultiplier,1.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
7,16%,212,230,249,20,54
8,26%,200,218,235,20,71
9,39%,188,205,221,20,92
10,54%,177,192,207,20,113
11,68%,165,179,194,20,129
12,80%,153,166,180,20,137
13,88%,141,154,166,20,137
14,93%,130,141,152,20,132
15,100%,25,27,29,,27
16,100%,21,23,25,,23
17,100%,17,19,21,,19
18,100%,14,15,16,,15
19,100%,10,11,12,,11
20,100%,6,7,8,,7
21,100%,3,3,3,,3
22,100%,0,0,0,,0
23,100%,0,0,0,,0
24,100%,0,0,0,,0
25+,100%,0,0,0,,0
