Recipe Key,recipe_item_material_mace_grip
Recipe Name,Mace Grip
Skill,skill_blacksmithing
UnlockAtSkillLevel,7
SkillDifficulty,16
XPMultiplier,1.8
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
7,9%,252,274,295,20,44
8,16%,238,259,280,20,58
9,26%,225,245,264,20,78
10,39%,212,230,249,20,102
11,54%,199,216,233,20,126
12,68%,185,202,218,20,144
13,80%,172,187,202,20,153
14,88%,159,173,187,20,154
15,93%,146,158,171,21,149
16,100%,26,28,30,,28
17,100%,22,24,26,,24
18,100%,18,20,22,,20
19,100%,15,16,17,,16
20,100%,11,12,13,,12
21,100%,7,8,9,,8
22,100%,4,4,4,,4
23,100%,0,0,0,,0
24,100%,0,0,0,,0
25,100%,0,0,0,,0
26+,100%,0,0,0,,0
