Recipe Key,recipe_item_material_spear_shaft
Recipe Name,Spear Shaft
Skill,skill_blacksmithing
UnlockAtSkillLevel,6
SkillDifficulty,13
XPMultiplier,1.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
6,26%,200,218,235,20,71
7,39%,188,205,221,20,92
8,54%,177,192,207,20,113
9,68%,165,179,194,20,129
10,80%,153,166,180,20,137
11,88%,141,154,166,20,137
12,93%,130,141,152,20,132
13,100%,23,25,27,,25
14,100%,19,21,23,,21
15,100%,16,17,18,,17
16,100%,12,13,14,,13
17,100%,8,9,10,,9
18,100%,5,5,5,,5
19,100%,1,1,1,,1
20,100%,0,0,0,,0
21,100%,0,0,0,,0
22,100%,0,0,0,,0
23+,100%,0,0,0,,0
