Recipe Key,recipe_item_material_steel_bar
Recipe Name,Steel Bar
Skill,skill_blacksmithing
UnlockAtSkillLevel,18
SkillDifficulty,32
XPMultiplier,3.1
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
18,4%,542,589,636,20,43
19,4%,519,564,609,20,42
20,4%,496,539,583,20,41
21,4%,473,515,556,20,40
22,5%,451,490,529,20,45
23,9%,428,465,502,21,63
24,16%,405,440,475,22,89
25,26%,382,415,449,23,124
26,39%,359,391,422,24,167
27,54%,337,366,395,25,209
28,68%,314,341,368,26,241
29,80%,291,316,341,27,258
30,88%,268,291,315,28,259
31,93%,245,267,288,29,250
32,100%,40,44,48,,44
33,100%,37,40,43,,40
34,100%,33,36,39,,36
35,100%,29,32,35,,32
36,100%,26,28,30,,28
37,100%,22,24,26,,24
38,100%,18,20,22,,20
39,100%,15,16,17,,16
40,100%,11,12,13,,12
41,100%,7,8,9,,8
42+,100%,4,4,4,,4
