Recipe Key,recipe_item_material_steel_sheet
Recipe Name,Steel Sheet
Skill,skill_blacksmithing
UnlockAtSkillLevel,20
SkillDifficulty,35
XPMultiplier,3.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
20,4%,638,693,748,20,47
21,4%,612,665,718,20,46
22,4%,586,637,688,20,45
23,4%,560,609,658,20,44
24,4%,535,581,627,20,42
25,5%,509,553,597,21,49
26,9%,483,525,567,22,69
27,16%,457,497,537,23,99
28,26%,431,469,507,24,139
29,39%,406,441,476,25,187
30,54%,380,413,446,26,235
31,68%,354,385,416,27,271
32,80%,328,357,386,28,290
33,88%,303,329,355,29,292
34,93%,277,301,325,30,282
35,100%,43,47,51,,47
36,100%,40,43,46,,43
37,100%,36,39,42,,39
38,100%,32,35,38,,35
39,100%,29,31,33,,31
40,100%,25,27,29,,27
41,100%,21,23,25,,23
42,100%,17,19,21,,19
43,100%,14,15,16,,15
44,100%,10,11,12,,11
45+,100%,6,7,8,,7
