Recipe Key,recipe_item_material_steel_sword_blade
Recipe Name,Steel Sword Blade
Skill,skill_blacksmithing
UnlockAtSkillLevel,20
SkillDifficulty,34
XPMultiplier,3.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
20,4%,594,646,698,20,45
21,4%,569,619,668,20,44
22,4%,544,592,639,20,43
23,4%,519,564,610,20,42
24,5%,494,537,580,20,48
25,9%,469,510,551,21,67
26,16%,444,483,521,22,96
27,26%,419,456,492,23,135
28,39%,394,428,463,24,182
29,54%,369,401,433,25,228
30,68%,344,374,404,26,263
31,80%,319,347,375,27,282
32,88%,294,320,345,28,284
33,93%,269,292,316,29,274
34,100%,42,46,50,,46
35,100%,39,42,45,,42
36,100%,35,38,41,,38
37,100%,31,34,37,,34
38,100%,28,30,32,,30
39,100%,24,26,28,,26
40,100%,20,22,24,,22
41,100%,17,18,19,,18
42,100%,13,14,15,,14
43,100%,9,10,11,,10
44+,100%,6,6,6,,6
