Recipe Key,recipe_item_prop_streetsign_alchemist_iron
Recipe Name,Alchemist Sign
Skill,skill_blacksmithing
UnlockAtSkillLevel,16
SkillDifficulty,22
XPMultiplier,2.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
16,39%,271,294,318,20,127
17,54%,254,276,298,20,158
18,68%,237,258,278,20,182
19,80%,220,239,258,20,195
20,88%,203,221,238,20,196
21,93%,186,202,219,20,190
22,100%,31,34,37,,34
23,100%,28,30,32,,30
24,100%,24,26,28,,26
25,100%,20,22,24,,22
26,100%,17,18,19,,18
27,100%,13,14,15,,14
28,100%,9,10,11,,10
29,100%,6,6,6,,6
30,100%,2,2,2,,2
31,100%,0,0,0,,0
32+,100%,0,0,0,,0
