Recipe Key,recipe_item_unlock_crafter_forge_2
Recipe Name,Forge parts
Skill,skill_blacksmithing
UnlockAtSkillLevel,9
SkillDifficulty,21
XPMultiplier,2.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
9,4%,421,458,494,20,38
10,4%,402,437,472,20,37
11,5%,383,416,449,20,41
12,9%,364,395,427,20,55
13,16%,344,374,404,20,77
14,26%,325,354,382,20,106
15,39%,306,333,359,20,142
16,54%,287,312,337,20,177
17,68%,268,291,314,21,205
18,80%,249,270,292,22,220
19,88%,230,250,270,23,222
20,93%,210,229,247,24,214
21,100%,30,33,36,,33
22,100%,27,29,31,,29
23,100%,23,25,27,,25
24,100%,19,21,23,,21
25,100%,16,17,18,,17
26,100%,12,13,14,,13
27,100%,8,9,10,,9
28,100%,5,5,5,,5
29,100%,1,1,1,,1
30,100%,0,0,0,,0
31+,100%,0,0,0,,0
