Recipe Key,recipe_item_unlock_crafter_jewelcrafting_workbench_1
Recipe Name,Basic Jewelcrafting Tools
Skill,skill_blacksmithing
UnlockAtSkillLevel,5
SkillDifficulty,10
XPMultiplier,1.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
5,54%,166,180,194,20,106
6,68%,155,168,181,20,121
7,80%,144,156,168,20,128
8,88%,132,144,156,20,129
9,93%,121,132,143,20,124
10,100%,20,22,24,,22
11,100%,17,18,19,,18
12,100%,13,14,15,,14
13,100%,9,10,11,,10
14,100%,6,6,6,,6
15,100%,2,2,2,,2
16,100%,0,0,0,,0
17,100%,0,0,0,,0
18,100%,0,0,0,,0
19,100%,0,0,0,,0
20+,100%,0,0,0,,0
