Recipe Key,recipe_item_vial_medium
Recipe Name,Vial
Skill,skill_blacksmithing
UnlockAtSkillLevel,9
SkillDifficulty,21
XPMultiplier,2.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
9,4%,324,352,380,20,33
10,4%,309,336,363,20,33
11,5%,294,320,346,20,36
12,9%,280,304,328,20,47
13,16%,265,288,311,20,63
14,26%,250,272,294,20,85
15,39%,236,256,276,20,112
16,54%,221,240,259,20,139
17,68%,206,224,242,21,159
18,80%,191,208,225,22,170
19,88%,177,192,207,23,171
20,93%,162,176,190,24,165
21,100%,30,33,36,,33
22,100%,27,29,31,,29
23,100%,23,25,27,,25
24,100%,19,21,23,,21
25,100%,16,17,18,,17
26,100%,12,13,14,,13
27,100%,8,9,10,,9
28,100%,5,5,5,,5
29,100%,1,1,1,,1
30,100%,0,0,0,,0
31+,100%,0,0,0,,0
