Recipe Key,recipe_building_prop_chandelier_metal_ornamental
Recipe Name,Ornamental Iron Chandelier
Skill,skill_building
UnlockAtSkillLevel,0
SkillDifficulty,22
XPMultiplier,0.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,0,0,0,20,19
1,4%,0,0,0,20,19
2,4%,0,0,0,20,19
3,4%,0,0,0,20,19
4,4%,0,0,0,20,19
5,4%,0,0,0,20,19
6,4%,0,0,0,20,19
7,4%,0,0,0,20,19
8,4%,0,0,0,21,20
9,4%,0,0,0,22,21
10,4%,0,0,0,23,22
11,4%,0,0,0,24,23
12,5%,0,0,0,25,24
13,9%,0,0,0,26,24
14,16%,0,0,0,27,23
15,26%,0,0,0,28,21
16,39%,0,0,0,29,18
17,54%,0,0,0,30,14
18,68%,0,0,0,31,10
19,80%,0,0,0,32,6
20,88%,0,0,0,33,4
21,93%,0,0,0,34,2
22,100%,31,34,37,,34
23,100%,28,30,32,,30
24,100%,24,26,28,,26
25,100%,20,22,24,,22
26,100%,17,18,19,,18
27,100%,13,14,15,,14
28,100%,9,10,11,,10
29,100%,6,6,6,,6
30,100%,2,2,2,,2
31,100%,0,0,0,,0
32+,100%,0,0,0,,0
