Recipe Key,recipe_building_prop_chandelier_metal_ornamental_tall
Recipe Name,Tall Ornamental Iron Chandelier
Skill,skill_building
UnlockAtSkillLevel,0
SkillDifficulty,27
XPMultiplier,0.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,0,0,0,20,19
1,4%,0,0,0,20,19
2,4%,0,0,0,20,19
3,4%,0,0,0,20,19
4,4%,0,0,0,20,19
5,4%,0,0,0,21,20
6,4%,0,0,0,22,21
7,4%,0,0,0,23,22
8,4%,0,0,0,24,23
9,4%,0,0,0,25,24
10,4%,0,0,0,26,25
11,4%,0,0,0,27,26
12,4%,0,0,0,28,27
13,4%,0,0,0,29,28
14,4%,0,0,0,30,29
15,4%,0,0,0,31,30
16,4%,0,0,0,32,31
17,5%,0,0,0,33,31
18,9%,0,0,0,34,31
19,16%,0,0,0,35,29
20,26%,0,0,0,36,27
21,39%,0,0,0,37,23
22,54%,0,0,0,38,18
23,68%,0,0,0,39,12
24,80%,0,0,0,40,8
25,88%,0,0,0,41,5
26,93%,0,0,0,42,3
27,100%,36,39,42,,39
28,100%,32,35,38,,35
29,100%,29,31,33,,31
30,100%,25,27,29,,27
31,100%,21,23,25,,23
32,100%,17,19,21,,19
33,100%,14,15,16,,15
34,100%,10,11,12,,11
35,100%,6,7,8,,7
36,100%,3,3,3,,3
37+,100%,0,0,0,,0
